num.plants,stage,fate,plot,year.start
15,seed,large1,8,1992
0,seed,large2,8,1992
1,small,dead,8,1992
1,small,small,8,1992
4,small,medium,8,1992
10,small,large1,8,1992
0,small,large2,8,1992
0,small,flower,8,1992
19,medium,dead,8,1992
0,medium,small,8,1992
7,medium,medium,8,1992
18,medium,large1,8,1992
3,medium,large2,8,1992
1,medium,flower,8,1992
29,large1,dead,8,1992
0,large1,small,8,1992
1,large1,medium,8,1992
5,large1,large1,8,1992
6,large1,large2,8,1992
6,large1,flower,8,1992
20,large2,dead,8,1992
0,large2,medium,8,1992
0,large2,large1,8,1992
0,large2,large2,8,1992
6,large2,flower,8,1992
14,flower,dead,8,1992
0,flower,large1,8,1992
0,flower,large2,8,1992
0,flower,flower,8,1992
126,seed,small,9,1992
19,seed,medium,9,1992
6,seed,large1,9,1992
0,seed,large2,9,1992
0,small,dead,9,1992
3,small,small,9,1992
12,small,medium,9,1992
10,small,large1,9,1992
2,small,large2,9,1992
0,small,flower,9,1992
3,medium,dead,9,1992
0,medium,small,9,1992
17,medium,medium,9,1992
16,medium,large1,9,1992
1,medium,large2,9,1992
0,medium,flower,9,1992
5,large1,dead,9,1992
0,large1,small,9,1992
5,large1,medium,9,1992
4,large1,large1,9,1992
9,large1,large2,9,1992
8,large1,flower,9,1992
1,large2,dead,9,1992
0,large2,medium,9,1992
1,large2,large1,9,1992
1,large2,large2,9,1992
8,large2,flower,9,1992
5,flower,dead,9,1992
0,flower,large1,9,1992
0,flower,large2,9,1992
0,flower,flower,9,1992
0,seed,small,1,1993
0,seed,medium,1,1993
0,seed,large1,1,1993
0,seed,large2,1,1993
11,small,dead,1,1993
3,small,small,1,1993
10,small,medium,1,1993
7,small,large1,1,1993
3,small,large2,1,1993
0,small,flower,1,1993
3,medium,dead,1,1993
1,medium,small,1,1993
2,medium,medium,1,1993
12,medium,large1,1,1993
2,medium,large2,1,1993
1,medium,flower,1,1993
5,large1,dead,1,1993
0,large1,small,1,1993
0,large1,medium,1,1993
6,large1,large1,1,1993
5,large1,large2,1,1993
14,large1,flower,1,1993
4,large2,dead,1,1993
0,large2,medium,1,1993
1,large2,large1,1,1993
2,large2,large2,1,1993
8,large2,flower,1,1993
19,flower,dead,1,1993
0,flower,large1,1,1993
0,flower,large2,1,1993
0,flower,flower,1,1993
11,seed,small,2,1993
9,seed,medium,2,1993
2,seed,large1,2,1993
0,seed,large2,2,1993
17,small,dead,2,1993
6,small,small,2,1993
44,small,medium,2,1993
29,small,large1,2,1993
1,small,large2,2,1993
0,small,flower,2,1993
9,medium,dead,2,1993
1,medium,small,2,1993
13,medium,medium,2,1993
27,medium,large1,2,1993
6,medium,large2,2,1993
3,medium,flower,2,1993
1,large1,dead,2,1993
0,large1,small,2,1993
0,large1,medium,2,1993
6,large1,large1,2,1993
2,large1,large2,2,1993
6,large1,flower,2,1993
0,large2,dead,2,1993
0,large2,medium,2,1993
1,large2,large1,2,1993
1,large2,large2,2,1993
16,large2,flower,2,1993
4,flower,dead,2,1993
0,flower,large1,2,1993
0,flower,large2,2,1993
