STATION,DATE,MXSD,TPCP,TSNW,EMXT,EMNT,MNTM
GHCND:USW00024018,19231001,-9999,719,185,211,-167,37
GHCND:USW00024018,19231101,-9999,71,10,150,-72,30
GHCND:USW00024018,19231201,-9999,71,105,161,-333,-26
GHCND:USW00024018,19240101,-9999,96,109,111,-217,-40
GHCND:USW00024018,19240201,-9999,291,365,178,-183,-3
GHCND:USW00024018,19240301,-9999,435,509,100,-194,-58
GHCND:USW00024018,19240401,-9999,359,246,211,-111,41
GHCND:USW00024018,19240501,-9999,911,0,239,-44,77
GHCND:USW00024018,19240601,-9999,385,0,311,17,157
GHCND:USW00024018,19240701,-9999,285,0,317,56,188
GHCND:USW00024018,19240801,-9999,60,0,328,67,191
GHCND:USW00024018,19240901,-9999,601,0,294,-17,125
GHCND:USW00024018,19241001,-9999,573,0,233,-28,88
GHCND:USW00024018,19241101,-9999,79,81,211,-94,36
GHCND:USW00024018,19241201,-9999,198,212,156,-267,-59
GHCND:USW00024018,19250101,-9999,8,6,133,-156,-30
GHCND:USW00024018,19250201,-9999,73,66,161,-100,14
GHCND:USW00024018,19250301,-9999,150,75,178,-189,29
GHCND:USW00024018,19250401,-9999,312,36,233,-78,73
GHCND:USW00024018,19250501,-9999,398,0,283,-33,114
GHCND:USW00024018,19250601,-9999,461,0,300,33,162
GHCND:USW00024018,19250701,-9999,968,0,350,78,200
GHCND:USW00024018,19250801,-9999,289,0,294,78,178
GHCND:USW00024018,19250901,-9999,48,0,278,0,144
GHCND:USW00024018,19251001,-9999,892,372,250,-150,32
GHCND:USW00024018,19251101,-9999,321,328,156,-117,17
GHCND:USW00024018,19251201,-9999,443,468,111,-178,-23
GHCND:USW00024018,19260101,-9999,224,230,89,-172,-34
GHCND:USW00024018,19260201,-9999,155,129,122,-111,6
GHCND:USW00024018,19260301,-9999,265,141,167,-139,-2
GHCND:USW00024018,19260401,-9999,322,122,222,-111,56
GHCND:USW00024018,19260501,-9999,445,0,278,-39,117
GHCND:USW00024018,19260601,-9999,1201,0,306,22,158
GHCND:USW00024018,19260701,-9999,742,0,333,61,184
GHCND:USW00024018,19260801,-9999,388,0,333,72,195
GHCND:USW00024018,19260901,-9999,94,0,289,-72,123
GHCND:USW00024018,19261001,-9999,310,178,261,-133,83
GHCND:USW00024018,19261101,-9999,132,146,144,-111,33
GHCND:USW00024018,19261201,-9999,196,230,167,-267,-30
GHCND:USW00024018,19270101,-9999,39,62,161,-194,-12
GHCND:USW00024018,19270201,-9999,278,421,122,-222,-17
GHCND:USW00024018,19270301,-9999,490,411,150,-189,-7
GHCND:USW00024018,19270401,-9999,571,521,244,-89,47
GHCND:USW00024018,19270501,-9999,513,203,272,-61,106
GHCND:USW00024018,19270601,-9999,512,0,328,22,149
GHCND:USW00024018,19270701,-9999,678,0,306,67,183
GHCND:USW00024018,19270801,-9999,1026,0,278,67,166
GHCND:USW00024018,19270901,-9999,262,25,272,-50,134
GHCND:USW00024018,19271001,-9999,451,33,233,-39,93
