https://wrcc.dri.edu/cgi-bin/cliMAIN.pl?wy1675,,,,"CHEYENNE WSFO AP, WY",,,,,,,,,,,
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,precip.ann,precip.wateryear,precip.summer.apr.aug
1935,NA,NA,NA,NA,NA,NA,NA,NA,1.72,0.26,0.32,0.07,2.37,,
1936,0.3,0.59,1.17,1.26,2.9,2.64,1.76,1.1,1.14,0.68,0.24,0.41,14.19,13.51,9.66
1937,0.47,0.27,2.09,1.57,1.19,1.28,1.97,1.34,0.49,1.23,0.9,1.68,14.48,12,7.35
1938,0.37,0.28,1.33,2.11,2.31,2.02,1.32,2.26,3.33,0.54,0.63,0.97,17.47,19.14,10.02
1939,0.71,0.75,1.73,1.82,1.69,0.83,0.7,0.42,0.49,0.37,0.06,0.26,9.83,11.28,5.46
1940,1.54,0.56,1.21,1.36,1.29,0.3,2.87,0.82,3.75,0.24,0.73,0.28,14.95,14.39,6.64
1941,0.33,0.32,1.36,3.7,0.66,4.66,2.08,1.86,1.1,1.43,0.71,0.72,18.93,17.32,12.96
1942,0.77,0.58,1.02,5.04,3.27,2.48,1.07,2.06,1.7,3.57,1.91,0.22,23.69,20.85,13.92
1943,0.56,0.53,0.95,1.34,4.21,2.34,1.25,1.11,0.53,0.54,0.41,0.18,13.95,18.52,10.25
1944,0.42,0.63,1.98,2.85,2,1.97,4,0.03,0.18,0.06,0.9,0.55,15.57,15.19,10.85
1945,0.97,1.03,1.02,3.08,1.31,3.47,1.57,1.35,1.43,0.53,0.46,0.29,16.51,16.74,10.78
1946,0.31,0.49,2.29,0.35,4.15,1.25,1.42,3.04,0.81,2.54,1.34,0.19,18.18,15.39,10.21
1947,0.54,0.69,0.81,1.55,2.19,3.75,1.87,1.37,0.78,2.12,0.78,0.52,16.97,17.62,10.73
1948,0.41,0.74,0.41,0.73,0.92,3.08,2.34,0.86,0.54,0.53,0.32,1.03,11.91,13.45,7.93
1949,1.46,0.04,2.44,1.61,4.27,3.26,2.17,2.04,0.25,1.36,0.02,0.26,19.18,19.42,13.35
