year,crow,diamond,unnamed
1986,2095,3216,565
1987,NA,NA,NA
1988,1406,1201,452
1989,2408,1684,734
1990,2030,2171,851
1991,756,2673,1354
1992,997,3627,1669
1993,935,4650,1503
1994,2017,3865,1393
1995,2441,3544,1822
1996,967,3850,777
1997,1348,5926,1820
1998,1708,6809,2372
1999,1152,6571,3621
2000,1148,4890,1638
2001,878,4788,1801
2002,822,3582,1336
2003,240,2131,4517
2004,381,3422,3525
2005,596,6074,1632
2006,369,3116,2690
2007,38,1492,700
2008,175,1360,381
2009,377,2664,1480
2010,339,969,2409
2011,432,5722,5803
2012,298,5863,1300
2013,283,2986,2064
2014,491,5983,3760
2015,435,1248,1726
2016,409,3483,4491
2017,287,5764,1888
2018,460,9325,5203
