"","seed","small","medium","large1","large2","flower","dead"
"seed",0,0,0,0,0,0,0
"small",967,52,11,3,0,0,0
"medium",316,335,194,63,1,0,0
"large1",48,149,295,191,14,3,0
"large2",1,17,49,119,15,1,0
"flower",0,5,21,186,141,3,0
"dead",0,199,128,104,33,235,0
